                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.7652,                 2.1193,                 2.1646,                0.39258,                0.40641,                0.38425,                0.18139,                 1.8955,                 2.3028,                 2.0364,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.7123,                 2.1856,                  2.088,                0.35101,                0.50434,                0.42452,                0.21442,                 1.7568,                 2.1976,                 1.9242,               0.006535,               0.006535,               0.006535
                     72,                 1.7148,                 2.0895,                 2.0645,                0.34953,                0.52092,                0.44473,                0.23308,                  1.638,                 2.1268,                 1.8582,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.6005,                 2.0517,                 2.0138,                0.34978,                  0.545,                0.42239,                 0.2406,                 1.6159,                 2.1195,                 1.8578,               0.006436,               0.006436,               0.006436
                     74,                 1.6286,                 1.9967,                 2.0335,                0.33848,                0.49868,                0.40419,                0.22999,                 1.6389,                 2.1697,                 1.8737,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.6297,                 1.9745,                 2.0075,                 0.3798,                0.50265,                0.43691,                0.22973,                 1.6773,                 2.1413,                 1.9005,               0.006337,               0.006337,               0.006337
                     76,                 1.6302,                 2.0101,                 2.0348,                0.43623,                0.50315,                0.46757,                0.25568,                 1.6115,                 2.0875,                 1.8546,              0.0062875,              0.0062875,              0.0062875
                     77,                  1.556,                 1.9889,                      2,                 0.4207,                0.50879,                0.44763,                0.25457,                 1.5734,                 2.0591,                 1.8241,               0.006238,               0.006238,               0.006238
                     78,                 1.6394,                 2.0029,                 2.0241,                0.40858,                0.46832,                0.43872,                0.23716,                 1.6623,                 2.0785,                  1.877,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.5012,                 1.9341,                 1.9719,                0.38002,                0.51554,                0.50794,                0.27757,                 1.6737,                 2.0206,                 1.8506,               0.006139,               0.006139,               0.006139
                     80,                 1.5519,                 1.8929,                 1.9348,                0.39574,                 0.5615,                0.49157,                0.27516,                  1.605,                 1.9934,                 1.7895,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.5082,                 1.9298,                 1.9133,                0.40117,                0.55958,                0.48745,                0.27066,                 1.5998,                 2.0149,                 1.7828,                0.00604,                0.00604,                0.00604
                     82,                 1.5078,                 1.8996,                 1.8506,                0.39803,                0.62554,                0.48347,                0.26799,                  1.593,                 2.0595,                 1.7581,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.5169,                 1.9226,                 1.8775,                0.33181,                0.55018,                0.43094,                 0.2443,                 1.5888,                 2.1422,                  1.743,               0.005941,               0.005941,               0.005941
                     84,                 1.4905,                 1.8671,                 1.9057,                0.32504,                0.51114,                 0.3848,                0.22103,                 1.5168,                 2.2673,                 1.7237,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.4802,                 1.8645,                 1.8992,                0.32599,                0.45277,                 0.3681,                0.20931,                 1.6519,                 2.3394,                 1.8725,               0.005842,               0.005842,               0.005842
                     86,                 1.4566,                 1.8322,                 1.8487,                0.49641,                0.58585,                0.52763,                0.28061,                 1.5745,                 2.0302,                 1.7448,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.4598,                 1.8237,                 1.8824,                0.50191,                0.63149,                0.58553,                0.34579,                 1.5144,                 1.8844,                 1.6801,               0.005743,               0.005743,               0.005743
                     88,                  1.412,                 1.8172,                 1.8447,                0.51335,                0.59247,                0.55081,                0.31424,                 1.4971,                 1.8731,                 1.6855,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.4004,                 1.7846,                 1.8115,                0.50115,                 0.6575,                0.61896,                0.39329,                 1.3682,                 1.7772,                 1.5778,               0.005644,               0.005644,               0.005644
                     90,                  1.356,                   1.74,                 1.8067,                0.49916,                0.62203,                0.60447,                0.38831,                 1.3777,                 1.7927,                 1.5651,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.4438,                 1.7827,                 1.8145,                0.65633,                0.62054,                0.64392,                0.40706,                 1.3503,                 1.8115,                 1.5695,               0.005545,               0.005545,               0.005545
                     92,                  1.362,                 1.7277,                 1.7764,                0.61459,                0.65105,                0.67213,                0.43356,                  1.345,                 1.6847,                 1.5678,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3372,                  1.697,                 1.7936,                0.56955,                0.66253,                0.64142,                0.41475,                  1.376,                 1.6825,                 1.5677,               0.005446,               0.005446,               0.005446
                     94,                 1.3785,                 1.6969,                 1.7853,                0.49764,                0.61934,                0.57946,                0.37261,                 1.3764,                 1.8263,                    1.6,              0.0053965,              0.0053965,              0.0053965
                     95,                  1.348,                 1.7115,                 1.7839,                0.46141,                   0.57,                0.55928,                0.35571,                 1.3524,                 1.7885,                 1.5816,               0.005347,               0.005347,               0.005347
                     96,                 1.3509,                 1.6938,                 1.7396,                0.49139,                0.53263,                0.55277,                0.33945,                 1.4071,                 1.8337,                 1.6272,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3096,                 1.6837,                  1.739,                0.52338,                0.61661,                0.59656,                0.38657,                 1.3344,                 1.8403,                 1.5646,               0.005248,               0.005248,               0.005248
                     98,                 1.4084,                 1.6963,                 1.7517,                0.58659,                0.58706,                 0.6139,                0.39159,                 1.3306,                  1.884,                 1.5642,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3092,                 1.6481,                 1.7327,                0.62754,                 0.5944,                0.63805,                0.38396,                 1.3697,                 1.8356,                 1.5933,               0.005149,               0.005149,               0.005149
                    100,                 1.3213,                 1.6502,                 1.7035,                0.61738,                0.59129,                0.64241,                0.42452,                 1.3183,                 1.7163,                 1.5457,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3471,                 1.6679,                 1.7399,                0.54234,                0.63745,                0.64642,                0.40688,                 1.3206,                  1.713,                 1.5498,                0.00505,                0.00505,                0.00505
                    102,                 1.2778,                 1.6337,                  1.716,                 0.6001,                0.64648,                0.67287,                0.42897,                 1.2954,                 1.6618,                 1.5025,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.3002,                 1.6378,                 1.6739,                 0.6393,                0.68557,                0.70358,                0.45402,                 1.2462,                 1.5976,                 1.4587,               0.004951,               0.004951,               0.004951
                    104,                 1.2826,                 1.6608,                 1.6736,                0.56077,                0.66892,                0.67539,                0.45657,                 1.2192,                 1.5977,                 1.4555,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2607,                 1.6545,                 1.6753,                0.57397,                0.65591,                0.66951,                0.42469,                 1.3717,                 1.6509,                  1.533,               0.004852,               0.004852,               0.004852
                    106,                   1.26,                  1.626,                 1.6722,                0.61066,                0.66625,                0.68847,                 0.4495,                 1.2683,                 1.6498,                 1.4932,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.2759,                 1.5847,                 1.6777,                0.57241,                0.64377,                0.66165,                0.44272,                 1.2656,                 1.6338,                 1.4967,               0.004753,               0.004753,               0.004753
                    108,                 1.2322,                 1.5456,                 1.6599,                0.57382,                0.67341,                0.65932,                0.43373,                 1.2421,                 1.6253,                 1.4774,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2259,                 1.5617,                 1.6482,                0.66619,                0.68482,                0.71308,                0.45343,                 1.2488,                 1.6404,                 1.4755,               0.004654,               0.004654,               0.004654
                    110,                  1.304,                 1.6597,                 1.6765,                0.65707,                0.69799,                0.72417,                0.48225,                 1.1831,                 1.5348,                  1.411,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.2177,                 1.5671,                 1.6623,                0.68316,                0.69578,                0.73388,                0.49269,                  1.222,                 1.5413,                 1.4343,               0.004555,               0.004555,               0.004555
                    112,                  1.214,                 1.5697,                 1.6208,                0.65249,                0.66054,                0.72023,                0.47829,                 1.2692,                 1.5801,                 1.4717,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.2383,                 1.5652,                 1.6414,                0.62031,                0.67036,                 0.6814,                0.45933,                 1.1978,                 1.5989,                 1.4261,               0.004456,               0.004456,               0.004456
                    114,                 1.2064,                 1.5721,                 1.6571,                0.57526,                 0.6811,                 0.6757,                0.44989,                 1.1769,                 1.6296,                  1.413,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.2437,                 1.5702,                 1.6394,                0.58012,                0.68608,                0.68583,                0.45031,                 1.2245,                 1.6825,                 1.4429,               0.004357,               0.004357,               0.004357
                    116,                 1.1954,                 1.5122,                 1.6267,                0.59247,                0.67843,                0.68788,                0.46457,                 1.2104,                 1.7111,                 1.4283,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.2419,                 1.5188,                 1.6151,                0.59208,                0.68175,                0.68161,                0.45883,                 1.2005,                 1.7253,                 1.4482,               0.004258,               0.004258,               0.004258
                    118,                 1.2378,                  1.552,                 1.6249,                0.57629,                  0.653,                0.67306,                0.45003,                 1.2018,                 1.6954,                 1.4371,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.1584,                 1.5886,                 1.5963,                0.71339,                 0.6764,                0.74835,                0.52369,                 1.1324,                 1.4987,                 1.3855,               0.004159,               0.004159,               0.004159
                    120,                 1.1432,                 1.4523,                 1.5752,                0.73469,                0.67586,                0.75345,                0.52706,                 1.1277,                   1.48,                 1.3723,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.1928,                 1.5496,                 1.5919,                0.65414,                0.68728,                0.72501,                0.49512,                 1.1402,                 1.5248,                 1.4022,                0.00406,                0.00406,                0.00406
                    122,                 1.2397,                 1.5328,                 1.6427,                0.67969,                0.68001,                0.73953,                0.50523,                 1.1614,                 1.5061,                 1.4196,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1486,                  1.458,                 1.6041,                0.67612,                0.71176,                0.74954,                0.51522,                 1.1453,                 1.4515,                 1.3854,               0.003961,               0.003961,               0.003961
                    124,                 1.2002,                 1.4927,                 1.6061,                 0.6939,                0.68413,                0.74509,                0.51554,                 1.1432,                 1.4706,                 1.4036,              0.0039115,              0.0039115,              0.0039115
                    125,                   1.19,                 1.4898,                 1.6402,                0.66284,                0.67734,                0.73357,                0.51136,                 1.1439,                 1.4771,                 1.3863,               0.003862,               0.003862,               0.003862
                    126,                 1.1227,                   1.45,                  1.578,                0.66258,                 0.6377,                0.72636,                 0.5105,                 1.1168,                 1.4943,                 1.3821,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1549,                 1.4218,                 1.5563,                0.70153,                0.63143,                0.71673,                0.50167,                  1.193,                 1.5306,                 1.4349,               0.003763,               0.003763,               0.003763
                    128,                 1.1594,                  1.408,                  1.581,                0.71395,                0.65732,                0.73095,                0.50504,                 1.1446,                 1.4831,                 1.3965,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.1391,                  1.406,                 1.5432,                0.69349,                0.66544,                 0.7318,                0.50341,                   1.15,                 1.4631,                 1.3892,               0.003664,               0.003664,               0.003664
                    130,                 1.1347,                 1.4777,                 1.5412,                0.69844,                0.72883,                0.72812,                0.49819,                 1.1364,                 1.5054,                 1.3818,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.1828,                 1.4588,                 1.5422,                0.69914,                0.71987,                0.76536,                0.50836,                 1.1404,                 1.4954,                 1.3994,               0.003565,               0.003565,               0.003565
                    132,                 1.1501,                 1.4369,                  1.568,                0.67848,                0.73528,                0.77774,                0.52722,                  1.131,                 1.4799,                 1.3828,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.1085,                 1.4099,                 1.5735,                0.76119,                0.68923,                0.78584,                0.54095,                 1.0944,                 1.4608,                 1.3609,               0.003466,               0.003466,               0.003466
                    134,                 1.1301,                 1.4367,                 1.5354,                0.75518,                0.72708,                0.79113,                0.55388,                 1.0882,                 1.4523,                 1.3385,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.1216,                  1.427,                 1.5456,                0.71048,                0.72334,                 0.7705,                0.53006,                 1.0889,                 1.4883,                 1.3502,               0.003367,               0.003367,               0.003367
                    136,                 1.1174,                 1.4147,                 1.5584,                0.73215,                0.69957,                0.76945,                0.53306,                 1.1121,                 1.4391,                 1.3282,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0843,                 1.4045,                 1.5536,                0.71278,                  0.722,                0.75675,                0.52823,                 1.0918,                 1.4323,                 1.3225,               0.003268,               0.003268,               0.003268
                    138,                 1.0945,                   1.35,                  1.506,                0.74521,                0.72267,                0.76119,                0.53076,                 1.0547,                 1.4369,                 1.3141,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0402,                 1.3512,                 1.5272,                0.65279,                 0.7463,                0.73513,                0.50625,                 1.0899,                 1.4818,                  1.318,               0.003169,               0.003169,               0.003169
                    140,                 1.0549,                 1.3416,                 1.5002,                0.62428,                 0.7737,                0.73551,                0.50718,                  1.052,                 1.4924,                 1.3143,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0689,                 1.4015,                 1.4938,                0.68011,                0.74536,                0.77579,                0.53729,                 1.0516,                  1.448,                 1.3155,                0.00307,                0.00307,                0.00307
                    142,                 1.1057,                 1.3864,                 1.5442,                0.74002,                0.72572,                0.79911,                0.56417,                 1.0437,                 1.3902,                 1.3195,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0978,                 1.3892,                 1.5436,                0.73613,                0.77284,                0.80652,                0.56707,                 1.0559,                 1.3417,                  1.312,               0.002971,               0.002971,               0.002971
                    144,                 1.0518,                 1.3315,                 1.4814,                0.74771,                0.74987,                0.80957,                0.57418,                 1.0387,                 1.3258,                 1.2953,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.1149,                 1.3329,                 1.5538,                0.72287,                0.74133,                0.79381,                0.56279,                  1.035,                 1.3342,                 1.3002,               0.002872,               0.002872,               0.002872
                    146,                 1.0333,                 1.3191,                 1.4754,                 0.6949,                0.77396,                0.78788,                0.56249,                  1.007,                 1.3221,                 1.2873,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.0489,                 1.3446,                 1.4788,                0.73651,                0.76992,                0.81019,                0.57783,                 1.0131,                 1.3187,                 1.2925,               0.002773,               0.002773,               0.002773
                    148,                 1.0404,                 1.3356,                  1.501,                0.79077,                0.74975,                0.81979,                0.58702,                 1.0442,                 1.3105,                 1.2947,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0267,                 1.3204,                 1.4978,                0.77349,                0.73534,                0.82135,                0.60339,                0.99212,                 1.2989,                 1.2742,               0.002674,               0.002674,               0.002674
