                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 2.0264,                 3.1821,                  2.376,                 2.4514,                0.50421,                0.42086,                0.31222,                0.15693,                0.47231,                0.22478,                0.20317,                 0.0692,                  1.881,                 2.7903,                 2.6403,                 2.1281,               0.006832,               0.006832,               0.006832
                     66,                 2.0669,                 3.2813,                 2.4433,                 2.4331,                0.25083,                0.32365,                0.26054,                  0.129,                0.14479,                0.26007,                0.15344,                0.05504,                 1.9555,                 3.0938,                 2.6823,                 2.2036,              0.0067825,              0.0067825,              0.0067825
                     67,                 2.0101,                 3.1289,                  2.424,                 2.4563,                0.49946,                 0.4114,                0.29445,                0.15638,                0.41639,                0.32078,                0.19082,                0.06977,                 1.8619,                 2.8223,                 2.4517,                 2.1446,               0.006733,               0.006733,               0.006733
                     68,                 1.9626,                 3.0589,                 2.3597,                   2.46,                0.29905,                0.49106,                0.29837,                  0.143,                0.38341,                0.29194,                0.13899,                0.05002,                 1.9075,                 2.9047,                 2.8112,                 2.1669,              0.0066835,              0.0066835,              0.0066835
                     69,                  1.978,                  3.282,                 2.3881,                 2.4104,                 0.3196,                0.44753,                0.34282,                0.17561,                0.44271,                0.29182,                0.22337,                0.08418,                 1.7737,                 2.7724,                 2.5801,                 2.0567,               0.006634,               0.006634,               0.006634
                     70,                 2.0223,                 3.1089,                 2.3371,                 2.4126,                0.14839,                 0.4344,                0.20071,                0.08828,                0.14827,                 0.2433,                 0.1511,                0.05645,                 1.9748,                 3.1981,                 2.9819,                  2.169,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.9729,                 3.2248,                 2.3474,                 2.3712,                0.22038,                0.42187,                0.25321,                0.11665,                0.06274,                0.12684,                0.05166,                0.01358,                 1.9962,                 3.5096,                 3.2159,                 2.2039,               0.006535,               0.006535,               0.006535
                     72,                 1.9728,                 3.0862,                 2.2793,                  2.327,                0.21702,                0.37723,                0.22876,                0.10023,                0.14817,                 0.1994,                0.14876,                0.05662,                 1.9757,                 3.5246,                 2.9155,                 2.1992,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.9513,                 3.1328,                 2.2943,                 2.3356,                0.30501,                0.50454,                0.36934,                0.19016,                0.20765,                 0.2633,                0.24115,                0.10021,                 1.8035,                 2.7546,                 2.6462,                 2.0487,               0.006436,               0.006436,               0.006436
                     74,                 1.9629,                 3.0989,                 2.2748,                 2.3199,                0.33564,                0.45238,                0.35381,                0.18906,                0.20634,                 0.2736,                0.25263,                0.10431,                 1.7692,                  3.024,                  2.626,                 2.0328,              0.0063865,              0.0063865,              0.0063865
